id,M500,M1000,M1500,M2000,M2500,M3000,M3500,M4000,M4500,M5000
ST00010001,5,23,23,50,46,46,60,56,52,40
ST00010003,9,17,28,28,55,41,52,46,51,42
ST00010004,8,17,29,27,53,39,56,44,54,39
ST00010005,5,17,31,34,51,33,74,45,47,37
ST00010036,6,16,27,40,40,39,75,45,51,38
ST00010138,7,21,27,45,39,50,58,59,38,53
ST00010265,5,21,24,48,43,52,59,54,43,56
ST00010735,7,17,28,35,46,42,72,51,48,40
ST00010008,11,26,35,33,35,42,52,56,43,53
ST00010009,8,27,23,43,39,41,57,53,38,47
ST00010010,8,25,24,42,41,42,56,54,38,48
ST00010011,7,27,32,44,36,53,53,50,49,50
ST00010012,9,21,36,38,38,67,45,47,53,57
ST00010028,8,27,34,32,36,41,54,50,42,45
ST00010034,9,28,33,34,27,46,44,46,44,47
ST00010038,8,25,33,39,46,46,49,56,56,40
ST00010042,12,22,33,38,37,49,49,56,51,46
ST00010485,8,23,33,41,46,47,51,54,58,39
ST00010664,10,33,32,30,31,40,46,61,38,56
ST00010716,7,15,36,40,57,47,47,57,61,35
ST00010835,11,27,35,29,30,47,53,54,36,48
ST00010836,11,25,38,28,29,46,57,50,37,48
ST00010900,10,29,32,39,30,51,54,48,54,44
ST00010935,8,20,29,43,47,46,59,55,54,36
ST00010634,8,22,28,43,42,48,57,55,39,50
ST00010969,10,30,33,32,31,41,51,60,41,55
ST00011016,6,26,28,35,34,53,35,48,50,39
ST00000168,9,29,36,29,30,44,54,50,34,52
ST00000457,11,31,32,29,27,37,49,59,36,54
ST00000490,7,27,26,45,50,52,47,52,53,45
ST00010013,8,32,38,26,29,45,56,45,63,53
ST00010014,11,23,45,27,33,58,48,50,54,54
ST00010016,13,19,33,32,28,32,31,59,57,62
ST00010017,8,17,31,33,28,28,38,45,57,62
ST00010035,8,36,33,27,33,31,46,57,47,53
ST00010020,8,25,35,32,27,32,39,42,56,35
ST00010021,9,22,31,34,30,32,29,49,59,37
ST00010022,8,19,28,35,31,33,29,42,59,41
ST00010032,8,25,25,38,27,30,30,56,54,47
ST00010037,8,25,24,36,30,30,29,54,55,56
ST00010141,8,32,31,34,25,39,40,63,64,56
ST00010143,9,17,29,38,27,24,40,48,61,66
ST00010170,14,26,35,27,31,29,46,58,59,57
ST00010171,13,26,36,27,31,28,46,59,58,57
ST00010172,12,27,36,26,32,27,47,58,57,57
ST00010173,10,24,27,36,26,27,44,51,77,52
ST00010175,13,24,31,32,27,26,43,51,67,58
ST00010194,11,35,29,34,29,32,56,47,64,56
ST00010302,11,24,30,27,29,33,31,57,55,57
ST00010303,11,25,32,27,31,31,28,62,52,62
ST00010467,11,35,31,22,34,31,43,61,46,57
ST00010468,12,34,32,23,31,31,43,60,48,57
ST00010562,8,20,23,35,28,37,32,48,67,59
ST00010600,8,22,20,39,28,29,37,49,67,60
ST00010645,10,37,32,21,32,35,53,49,61,55
ST00010672,9,25,19,41,26,27,39,49,74,60
ST00010874,14,24,31,30,29,28,34,59,52,62
ST00010909,10,36,29,33,32,29,61,44,61,59
ST00010949,9,25,26,35,28,25,43,48,71,62
ST00011026,9,25,24,37,27,26,43,48,71,61
ST00010023,1,15,27,52,66,61,57,42,60,51
ST00010033,9,13,42,40,42,62,58,43,49,70
ST00010024,3,12,31,44,65,71,50,60,51,52
ST00010041,8,12,41,44,42,62,62,39,45,73
ST00010148,8,12,40,43,46,61,62,40,45,71
ST00010197,7,17,36,47,43,64,55,38,51,67
ST00010513,1,12,24,61,66,58,59,44,56,54
ST00010530,2,12,32,37,70,68,62,57,47,48
ST00010851,8,16,37,45,41,65,56,39,49,67
ST00000491,3,12,31,45,63,72,49,60,52,53
ST00000631,9,21,39,37,41,56,48,46,59,66
ST00010019,5,16,30,30,27,66,69,85,66,61
ST00010025,3,12,30,29,47,61,73,80,61,60
ST00010553,7,19,21,40,53,68,58,65,60,56
ST00010776,6,21,24,35,56,65,57,66,55,64
ST00010026,5,14,26,28,50,61,67,66,57,57
ST00010027,7,12,18,33,53,61,65,69,58,71
ST00010043,10,11,16,31,48,59,64,71,67,76
ST00010044,9,13,19,26,43,58,64,69,76,73
ST00010125,9,15,14,26,48,61,66,74,77,67
ST00010126,9,16,14,24,50,59,68,74,79,64
ST00010039,7,16,18,26,41,60,66,76,89,59
ST00010426,7,14,16,34,37,60,64,64,71,61
ST00010571,4,16,21,33,39,63,61,66,64,46
ST00010572,8,13,21,27,43,63,62,68,64,62
ST00010601,3,12,25,42,55,65,71,50,57,61
ST00010613,7,15,15,29,51,59,62,85,80,54
ST00010642,8,12,21,25,37,59,66,69,75,73
ST00010768,10,15,11,31,49,61,62,74,68,74
ST00010919,7,15,19,25,43,60,62,67,85,71
ST00010906,8,13,13,39,53,61,66,76,63,62
ST00010922,2,11,28,38,58,62,66,57,51,62
ST00010936,3,14,16,42,60,53,77,71,56,63
ST00011036,7,12,22,28,47,68,62,81,76,49
ST00010047,13,24,31,35,24,33,42,67,63,54
ST00010048,10,23,33,34,35,26,52,70,55,68
ST00010049,7,26,40,32,32,49,55,53,55,65
ST00010050,3,16,25,29,34,37,38,48,48,73
ST00010051,10,25,34,31,37,25,48,70,57,67
ST00010052,10,28,29,36,33,32,48,72,53,62
ST00010064,4,25,25,30,36,35,38,58,61,66
ST00010130,7,25,37,29,40,34,54,68,54,63
ST00010137,7,19,24,41,35,43,55,59,60,58
ST00010139,3,22,26,31,36,44,43,56,61,53
ST00010123,8,21,31,32,36,31,45,63,66,58
ST00010226,4,22,23,34,36,40,49,61,58,60
ST00010316,12,13,36,37,34,36,58,61,65,53
ST00010447,8,20,27,40,33,46,57,51,72,59
ST00010551,10,23,42,28,38,53,52,52,54,61
ST00010564,5,24,26,40,47,52,56,58,56,66
ST00010622,4,28,32,30,50,54,53,56,57,56
ST00010828,6,18,26,41,35,43,60,53,63,59
ST00000286,9,19,34,34,30,31,42,60,68,58
ST00000497,10,22,34,33,32,30,48,66,61,59
ST00000565,9,22,32,35,31,31,47,69,59,57
ST00000712,7,32,32,34,28,38,39,70,61,54
ST00010053,2,19,26,36,46,61,52,70,59,57
ST00010054,4,14,30,40,64,63,59,58,52,49
ST00010055,4,21,26,34,46,59,57,65,59,60
ST00010056,3,18,33,32,58,58,58,64,59,48
ST00010057,4,16,26,41,41,64,63,69,57,52
ST00010066,10,18,24,45,36,48,56,58,67,58
ST00010067,8,21,27,40,37,46,61,56,66,57
ST00010068,8,19,27,42,38,46,60,59,66,59
ST00010214,3,18,29,29,49,45,58,51,70,58
ST00010216,3,18,32,39,59,58,58,60,56,48
ST00010539,1,20,25,29,51,48,56,50,67,65
ST00000384,7,21,30,42,35,46,61,53,67,53
ST00000407,6,17,27,38,47,55,57,60,61,58
ST00000480,4,16,30,36,63,48,62,65,60,48
ST00000764,9,12,28,41,35,54,57,55,67,61
ST00010045,3,18,27,43,45,56,79,57,60,54
ST00010058,3,18,27,44,40,63,76,59,57,57
ST00010161,4,13,40,29,45,59,60,80,63,55
ST00010117,3,21,15,38,50,57,62,74,62,44
ST00010169,5,10,42,30,45,58,62,76,66,55
ST00010413,2,22,18,33,55,50,66,77,55,48
ST00010641,5,10,41,33,36,63,62,73,76,45
ST00010614,6,9,42,31,43,61,63,71,68,57
ST00010442,4,14,30,50,35,63,81,58,53,63
ST00010952,2,19,20,33,54,45,67,74,61,54
ST00011021,6,11,36,40,39,64,67,67,59,62
ST00000123,7,11,28,46,41,63,72,59,66,51
ST00010059,5,9,25,26,41,64,61,53,46,60
ST00010046,4,15,21,30,40,57,62,63,58,54
ST00010060,4,12,20,29,45,53,72,43,56,61
ST00010061,5,8,22,31,40,69,52,50,51,60
ST00010062,2,13,21,26,37,63,63,54,38,58
ST00010157,4,12,24,33,38,56,64,64,62,52
ST00010162,6,11,20,34,42,64,63,51,63,56
ST00010163,6,12,21,34,57,45,63,53,70,57
ST00010327,3,14,25,33,42,60,52,64,60,63
ST00010339,7,8,18,39,42,64,62,44,62,63
ST00010352,5,7,26,32,46,68,55,46,58,65
ST00010708,3,17,18,39,38,62,62,69,55,55
ST00010764,3,13,26,35,39,61,52,58,62,65
ST00010879,3,11,19,42,52,45,63,49,61,61
ST00010934,4,12,22,39,36,59,57,53,66,63
ST00010978,4,12,22,34,38,60,53,59,62,54
ST00000161,5,9,24,33,57,45,67,48,65,61
ST00000237,3,12,18,41,54,45,60,52,60,61
ST00000635,4,13,24,29,43,55,61,60,65,51
ST00010069,12,18,18,41,46,60,65,61,71,64
ST00010070,10,18,24,35,48,64,60,64,61,67
ST00010072,11,22,22,36,42,49,51,71,77,80
ST00010073,15,17,29,28,47,56,45,67,73,83
ST00010077,7,31,22,34,41,33,51,61,79,105
ST00010088,9,24,26,38,39,54,52,63,80,79
ST00010087,7,17,43,28,38,35,35,59,84,98
ST00010089,6,26,30,32,42,27,46,54,86,100
ST00010075,5,31,33,32,29,40,39,63,82,96
ST00010140,8,17,42,34,33,30,58,71,75,69
ST00010145,8,22,31,31,31,33,48,56,64,73
ST00010151,7,16,40,33,33,30,40,55,77,71
ST00010192,12,18,22,33,41,58,58,67,73,69
ST00010313,8,23,25,31,40,41,51,62,83,105
ST00010353,8,24,29,29,34,33,49,54,66,73
ST00010428,15,19,24,29,51,44,50,70,72,82
ST00010429,12,22,23,30,51,43,50,71,72,83
ST00010466,6,21,43,33,33,35,50,68,84,81
ST00010577,4,33,29,35,31,37,44,66,79,99
ST00010596,5,15,27,25,38,42,41,54,49,68
ST00010607,7,23,39,34,25,37,51,61,83,79
ST00010608,11,21,29,33,40,53,53,64,78,83
ST00010620,4,14,28,29,36,44,37,55,54,63
ST00010628,7,12,32,45,36,34,51,79,62,66
ST00010633,4,23,29,33,48,54,70,58,66,72
ST00010671,13,22,21,35,43,47,48,72,79,83
ST00010720,8,25,26,37,35,56,52,63,81,84
ST00010718,7,21,37,35,27,37,43,46,87,73
ST00010731,8,27,31,34,32,43,49,62,85,88
ST00010755,9,26,20,41,36,41,51,67,70,100
ST00010837,8,19,24,33,53,69,52,74,55,65
ST00010838,9,11,32,46,35,32,52,76,63,66
ST00010868,9,22,24,33,39,49,55,78,70,79
ST00010948,6,13,33,43,41,34,51,76,66,64
ST00010942,6,31,26,30,31,33,50,46,78,71
ST00010944,8,20,27,31,30,46,38,51,65,68
ST00010940,9,19,34,38,28,30,54,65,75,60
ST00010890,9,26,29,32,40,45,49,67,79,83
ST00010443,4,30,33,36,23,36,44,54,84,75
ST00010950,10,19,22,34,42,61,71,56,73,66
ST00010981,9,11,31,47,34,30,56,72,68,64
ST00011000,13,16,19,39,48,60,63,65,69,61
ST00011034,8,27,22,40,40,52,55,65,73,79
ST00011035,9,24,32,33,37,46,48,67,79,84
ST00000135,6,19,30,29,32,44,40,51,62,67
ST00000194,10,13,35,42,31,33,55,71,75,65
ST00000196,10,22,23,26,35,41,45,51,61,69
ST00000283,8,20,20,38,51,65,58,67,61,62
ST00000704,8,21,24,29,34,40,45,48,65,65
ST00000765,10,26,20,36,40,45,49,76,73,87
ST00000760,9,13,43,35,31,33,57,63,81,75
ST00010080,4,17,36,23,38,44,63,67,81,80
ST00010082,0,7,21,26,50,53,53,51,70,65
ST00010081,4,18,33,24,39,43,62,66,84,79
ST00010131,6,15,30,47,26,40,37,64,66,82
ST00010132,3,7,14,27,40,77,42,38,41,60
ST00010124,0,4,14,27,39,48,62,69,51,72
ST00010204,2,12,27,34,42,47,44,53,79,82
ST00010205,1,9,17,36,45,57,47,46,49,70
ST00010219,1,17,23,48,41,29,42,64,43,80
ST00010252,3,22,29,35,39,35,50,61,85,89
ST00010351,2,7,16,29,39,75,41,39,42,63
ST00010356,3,7,20,34,48,56,48,35,44,73
ST00010357,5,14,30,28,36,53,37,72,81,84
ST00010438,7,14,41,35,36,32,36,61,77,93
ST00010756,7,12,37,42,32,32,38,64,75,87
ST00010800,2,11,9,15,53,53,57,43,44,54
ST00010880,2,12,31,34,37,50,42,59,80,82
ST00000181,8,13,43,33,36,29,40,59,77,81
ST00000548,8,13,43,36,30,30,41,59,77,78
ST00010127,5,13,19,28,33,49,64,83,85,87
ST00010152,6,4,19,32,37,47,60,76,74,83
ST00010153,4,9,17,25,41,49,55,79,74,83
ST00010154,4,14,25,29,33,36,85,71,82,83
ST00010165,5,23,26,31,35,59,62,74,73,67
ST00010195,5,16,23,26,42,52,68,86,87,55
ST00010198,5,18,17,29,31,58,67,74,94,72
ST00010338,7,9,23,30,34,39,77,76,80,91
ST00010375,6,22,27,28,35,55,63,84,68,64
ST00010502,2,6,25,31,32,32,62,71,74,77
ST00010503,2,6,24,32,30,34,61,72,74,77
ST00010552,7,15,22,29,33,48,79,79,86,63
ST00010609,3,6,17,30,37,53,54,72,79,70
ST00010610,3,8,14,29,38,55,54,64,79,68
ST00010719,3,15,21,33,35,32,82,71,76,85
ST00010995,0,5,14,18,45,59,50,56,61,72
ST00011013,3,19,27,33,25,62,64,83,76,66
ST00000309,4,11,25,24,37,42,62,88,65,92
ST00010210,0,10,22,38,43,37,39,46,58,56
ST00010211,1,8,19,28,31,49,44,51,37,53
ST00010444,1,10,22,32,31,40,30,46,67,54
ST00010540,1,8,18,34,39,36,40,60,39,51
ST00010825,2,8,12,26,43,52,50,43,37,47
ST00010827,1,13,21,25,31,42,29,50,52,59
ST00010947,5,15,26,32,40,42,41,46,64,60
ST00010989,5,13,33,24,38,37,46,50,57,63
ST00000437,1,16,24,38,42,40,42,46,57,63
ST00000450,2,16,23,29,31,32,41,52,65,53
ST00000706,3,14,20,38,30,37,41,55,60,58
ST00010078,4,18,14,27,24,41,47,44,49,59
ST00010079,3,16,14,26,32,30,46,58,48,47
ST00010085,6,16,12,16,35,35,42,43,52,47
ST00010086,12,20,29,18,37,44,48,57,49,74
ST00010135,4,16,21,26,24,39,47,47,61,51
ST00010150,6,11,27,19,23,48,44,56,53,48
ST00010155,5,21,19,23,35,36,58,47,48,62
ST00010156,9,24,17,27,36,36,56,46,57,58
ST00010166,6,26,24,33,37,32,55,58,63,65
ST00010177,5,12,23,22,26,44,44,57,49,46
ST00010191,6,13,28,18,22,49,49,52,54,47
ST00010203,5,25,17,20,36,39,60,51,40,63
ST00010220,9,17,21,21,33,50,55,44,56,45
ST00010221,6,16,19,26,31,59,55,37,59,43
ST00010269,5,18,13,22,32,27,52,44,49,58
ST00010305,7,21,26,37,39,32,53,64,60,58
ST00010319,7,13,27,17,24,48,55,49,49,51
ST00010321,10,19,26,22,29,58,45,59,45,59
ST00010330,10,19,25,23,29,60,44,58,43,61
ST00010355,6,28,16,26,32,40,56,50,46,61
ST00010480,10,22,25,22,38,47,45,62,53,57
ST00010544,5,18,18,26,33,57,51,39,60,39
ST00010555,10,16,25,23,35,56,47,51,47,56
ST00010576,8,22,22,35,38,37,55,56,51,67
ST00010785,11,21,20,20,39,44,52,52,49,68
ST00010833,8,15,26,41,36,43,47,68,57,60
ST00010852,11,20,27,25,37,41,45,63,55,61
ST00010865,3,11,5,8,35,30,46,37,49,53
ST00010878,8,9,7,10,12,37,51,38,39,50
ST00010884,12,23,21,23,31,47,50,49,54,69
ST00010920,7,15,21,23,34,36,54,62,40,60
ST00010970,3,19,14,25,29,34,45,46,47,63
ST00010100,5,12,13,6,9,43,48,39,44,52
ST00010106,6,9,5,8,31,31,47,37,48,54
ST00010118,6,7,7,11,27,39,49,37,41,54
ST00010119,4,12,14,6,14,46,46,37,44,53
ST00000350,7,12,21,25,38,52,55,41,55,44
ST00000399,6,23,19,21,34,44,49,52,53,60
ST00000398,13,17,21,23,33,55,46,57,39,64
ST00000519,12,17,18,26,34,56,42,53,51,53
ST00000549,10,17,23,25,33,57,47,53,46,59
ST00000707,7,13,21,25,21,39,52,51,53,43
ST00000972,8,14,13,16,34,34,46,44,38,55
ST00010178,9,10,22,23,30,39,36,47,51,74
ST00010179,5,11,26,22,37,31,41,55,66,61
ST00010180,1,11,28,38,18,33,58,69,70,70
ST00010181,2,18,23,26,31,46,68,67,77,90
ST00010336,2,8,20,35,29,39,39,67,67,67
ST00010490,9,10,22,22,29,37,41,42,51,70
ST00010514,2,15,25,29,37,36,60,56,69,76
ST00010534,7,12,20,26,30,40,34,50,47,78
ST00010625,3,13,23,27,43,34,55,56,75,63
ST00010871,4,5,18,38,30,39,43,65,68,72
ST00010885,6,13,25,22,37,33,33,63,61,60
ST00000134,5,20,17,24,17,41,45,40,42,63
ST00000153,4,16,24,29,30,47,60,76,59,85
ST00000856,3,13,23,32,32,36,42,66,72,61
ST00010217,5,14,27,37,35,56,43,54,46,42
ST00010304,7,12,29,41,33,53,56,49,55,34
ST00010329,4,16,20,34,40,42,42,42,45,48
ST00010350,2,13,24,27,43,49,45,64,49,42
ST00010422,5,13,23,34,42,40,63,59,45,41
ST00010629,2,15,27,30,46,46,63,62,57,41
ST00010644,5,14,23,37,37,48,53,51,43,49
ST00010725,4,20,20,33,46,48,33,47,44,47
ST00010821,4,12,24,31,32,50,43,62,58,61
ST00010846,3,12,21,37,36,43,60,41,49,45
ST00010914,4,10,28,30,48,39,59,59,54,45
ST00000492,4,18,18,33,35,58,64,58,77,51
ST00010280,2,4,16,18,27,33,43,38,45,42
ST00010281,0,9,24,20,41,37,46,46,38,49
ST00010460,4,7,10,10,19,33,34,27,32,35
ST00010478,4,8,7,13,22,35,26,40,38,39
ST00010726,7,3,11,12,22,36,30,27,41,35
ST00010787,2,7,13,14,30,31,41,39,42,43
ST00010853,3,12,8,21,29,28,28,38,41,41
ST00000189,1,10,20,34,38,43,46,52,43,46
ST00000318,6,5,10,12,22,39,27,31,38,36
ST00000973,2,9,12,19,29,27,43,37,39,55
ST00010693,5,10,23,29,46,41,38,53,55,79
ST00010697,4,12,26,25,45,45,59,64,60,54
ST00010698,3,14,19,33,42,47,44,68,53,65
ST00010845,4,6,27,26,41,39,37,43,44,75
ST00010895,0,15,21,28,29,32,36,42,44,49
ST00010988,5,13,20,27,37,39,42,33,62,77
ST00000109,3,13,20,31,35,33,45,28,53,78
ST00000653,4,7,24,30,41,38,43,42,55,58
ST00000931,5,7,25,31,39,45,33,48,61,76
ST00010225,2,9,22,18,36,26,32,43,42,41
ST00010282,0,7,16,29,30,25,21,31,18,37
ST00010283,2,12,12,21,28,28,31,29,36,46
ST00010292,2,9,20,20,38,21,31,38,50,37
ST00010445,2,9,29,26,18,22,37,35,39,35
ST00010588,2,10,20,20,37,25,33,41,43,40
ST00010766,2,11,19,33,17,28,32,34,44,39
ST00010811,2,10,18,26,25,19,30,35,35,44
ST00010866,1,8,29,25,20,26,35,27,41,36
